1324571639,961664819,2286236458
663245240,1711703327,2374948567
725217403,1897615790,2622833193
2024172510,1781052026,3805224536
292701705,65853519,358555224
1649363916,1093483050,2742846966
1083923480,1637388693,2721312173
352037117,996221386,1348258503
625803665,1731468073,2357271738
1029748115,345107619,1374855734
295027533,1654159295,1949186828
243390969,468884449,712275418
1370656404,541978751,1912635155
817125623,1906946273,2724071896
925696688,1511936237,2437632925
865693503,1735120937,2600814440
601648473,434544060,1036192533
812761209,735839899,1548601108
1108764071,672301536,1781065607
464564594,1162682869,1627247463
